artist,song,lyrics,url
Nick Gilder,Hoe Child in the City,"Danger in the shape of something wild,
Stranger dressed in black she's a hungry child.
No-one knows who she is or what her name is.
I don't know where she came from or what her game is.
Hot child in the city,
Hot child in the city,
Runnin' wild and lookin' pretty,
Yeah,
Hot child in the city.
So young to be loose and on her own.
Young boys they all want to take her home.
When she comes downtown the boys all stop and stare.
When she comes downtown she walks like she just don't care,
Yeah.
Hot child in the city,
Hot child in the city,
Runnin' wild and lookin' pretty,
Yeah,
Hot child in the city.
Come on down to my place baby, we'll talk about love.
Come on down to my place baby, we'll make love.
Hot child in the city. Hot child in the city.
Hot child in the city runnin' wild and lookin' pretty,
Hot child in the city.
Hot child in the city
Hot child in the city
Hot child in the city.
Hot child in the city",https://www.youtube.com/watch?v=ERqwe_D7anI,
Taylor Swift,Welcom To New York,"Walkin' through a crowd, the village is a glow
Kaleidoscope of loud heartbeats under coats
Everybody here wanted somethin' more
Searchin' for a sound we hadn't heard before
And it said
Welcome to New York
It's been waitin' for you
Welcome to New York, welcome to New York
Welcome to New York
It's been waitin' for you
Welcome to New York, welcome to New York
It's a new soundtrack I could dance to this beat, beat forevermore
The lights are so bright but they never blind me, me
Welcome to New York
It's been waitin' for you
Welcome to New York, welcome to New York
When we first dropped our bags on apartment floors
Took our broken hearts, put them in a drawer
Everybody here was someone else before
And you can want who you want
Boys and boys and girls and girls
Welcome to New York
It's been waitin' for you
Welcome to New York, welcome to New York
Welcome to New York
It's been waitin' for you
Welcome to New York, welcome to New York
It's a new soundtrack I could dance to this beat, beat forevermore
The lights are so bright but they never blind me, me
Welcome to New York (New York!)
It's been waitin' for you
Welcome to New York, welcome to New York
Like any great love, it keeps you guessing
Like any real love, it's ever-changing
Like any true love, it drives you crazy
But you know you wouldn't change anything, anything, anything
Welcome to New York
It's been waitin' for you
Welcome to New York, welcome to New York
Welcome to New York
It's been waitin' for you
Welcome to New York, welcome to New York
It's a new soundtrack I could dance to this beat
The lights are so bright but they never blind me
Welcome to New York
New soundtrack
It's been waitin' for you
Welcome to New York
The lights are so bright but they never blind me
Welcome to New York
So bright, they never blind me
Welcome to New York
Welcome to New York",https://www.youtube.com/watch?v=ae8_-GTf3UY,
"Jay Z, Alica Keys",Empire Stare of Mind,"Yea, yea I'm out that Brooklyn, now I'm down in Tribeca
Right next to DeNiro, but I'll be hood forever
I'm the new Sinatra, and, since I made it here
I can make it anywhere, yea, they love me everywhere I used to cop in Harlem,
All of my Dominicano's right there up on Broadway,
Pull me back to that McDonald's, took it to my stashbox, 560 State St.
Catch me in the kitchen like a Simmons wippin' pastry's
Cruisin' down 8th St., off white Lexus
Drivin' so slow, but BK is from Texas
Me, I'm out that Bed-Stuy, home of that boy Biggie
Now I live on Billboard and I brought my boys with me
Say whattup to Ty-Ty, still sippin' Mai Tai's
Sittin' courtside, Knicks and Nets give me high five
Nigga I be Spike'd out, I could trip a referee
Tell by my attitude that I'm most definitely from
In New York,
Concrete jungle where dreams are made of
There's nothin' you can't do
Now you're in New York
These streets will make you feel brand new
Big lights will inspire you
Let's hear it for New York, New York, New York
Catch me at the X with OG at a Yankee game
Shit, I made the Yankee hat more famous then a Yankee can
You should know I bleed blue, but I ain't a Crip though
But I got a gang of niggas walkin' with my clique though
Welcome to the melting pot, corners where we sellin' rock
Afrika Bambataa shit, home of the hip-hop
Yellow cab, gypsy cab, dollar cab, holla back
For foreigners it ain't for, they act like they forgot how to act
Eight million stories, out there in it naked
City is a pity, half of y'all won't make it
Me, I got a plug, Special Ed ""I Got It Made""
If Jesus payin' Lebron, I'm payin' Dwayne Wade
Three dice cee-lo, three card monte
Labor Day Parade, rest in peace Bob Marley
Statue of Liberty, long live the World Trade
Long live the King yo, I'm from the Empire St. that's
In New York,
Concrete jungle where dreams are made of
There's nothin' you can't do
Now you're in New York
These streets will make you feel brand new
Big lights will inspire you
Let's hear it for New York, New York, New York
Lights is blinding, girls need blinders
So they can step out of bounds quick, the sidelines is
Lined with casualties, who sip to life casually
Then gradually become worse, don't bite the apple, Eve
Caught up in the in-crowd, now you're in style
End of the winter gets cold, en vogue, with your skin out
City of sin, it's a pity on the whim
Good girls gone bad, the city's filled with them
Mommy took a bus trip, now she got her bust out
Everybody ride her, just like a bus route
Hail Mary to the city, you're a virgin
And Jesus can't save you, life starts when the church end
Came here for school, graduated to the high life
Ball players, rap stars, addicted to the limelight
MDMA got you feelin' like a champion
The city never sleeps, better slip you an Ambien
In New York,
Concrete jungle where dreams are made of
There's nothin' you can't do
Now you're in New York
These streets will make you feel brand new
Big lights will inspire you
Let's hear it for New York, New York, New York
One hand in the air for the big city
Street lights, big dreams, all lookin' pretty
No place in the world that could compare
Put your lighters in the air everybody say yeah, yeah,
Yea, yea
In New York,
Concrete jungle where dreams are made of
There's nothin' you can't do
Now you're in New York
These streets will make you feel brand new
Big lights will inspire you
Let's hear it for New York, New York, New York",https://www.youtube.com/watch?v=-rDZwRI4SFI,
Childish Gambino,L.E.S,"Baby, you're the baddest
Baby, you're the baddest girl and uh
Nobody else matters
Nobody else matters girl and uh
We're kissing in the bathroom
We're kissing in the bathroom girl and uh
I hope nobody catch us
But I kinda hope they catch us
Anyway
A New York nine's an everywhere else six
Time wise, the opposite goes for chicks
I'm in a taxi, texting with my best friend
He's sleeping with this girl that he met up on West end
He's lucky, she's a career woman, no kids
Most girls see the clothes and try and gold dig
Most hoes poke holes in Trojans
Most people don't fuckin' hit the lotto but my folks did
I'm a mess
That don't rhyme with shit, it's just true
Don't bring your girlfriend here, it's just you
When I'm depressed you're someone I run to
But, I guess meet me at Pianos
And cross-fadin' off of Nanos
Ugh, on that hipster shit
And you's a hipster, bitch
Yo, but not in the lame way
Like, you ain't livin' out in BK
Like, you ain't workin' on a screenplay
Like, your baby daddy ain't a DJ
Like, she listenin' to old Freeway
'Cause everybody listens to Biggie, but she different
Right, that's why your friends need wristbands?
Fuck you
Can I have this dance?
Baby, you're the baddest
Baby, you're the baddest girl and uh
Nobody else matters
Nobody else matters girl and uh
We're kissing in the bathroom
We're kissing in the bathroom girl and uh
I hope nobody catch us
But I kinda hope they catch us
Baby, you're the baddest
Baby, you're the baddest girl and uh
Nobody else matters
Nobody else matters girl and uh
We're kissing in the bathroom
We're kissing in the bathroom girl and uh
I hope nobody catch us
But I kinda hope they catch us
We could pretend if you want to, like
We in love and started datin' at your art school
'Cause either way we both lyin' more than half of the time
Except for when I'm home workin' on your graphic design
Every time we see each other I'm takin' you home
Our relationship has gotten Sylvester Stalone
Yellow 9/11 Persian girl in the back car
But me writin' a verse the only way they buyin' a bar
White boys used to trip and send me over a gin
But they busy showin' off each other Indian friend
She got ironic tattoos on her back
That ain't ironic bitch, I love Rugrats
Watchin' lames handle they fame
They bang any broad with bangs
In a band with an animal name
Hannibal came drinkin' a handle of Jameson
Analin' anyone is the plan for the evening
I'm kidding, stop
Girl cryin' on Ludlow
She still look good though
Love is east side, who are you to hate?
Movie ass, not a 10 but a Super 8
You ain't see me at the show, I was super great
Hotel penthouse, go on let it roominate
City never sleeps, so I guess I'm never slept on
Did everything I could, then I kept goin'
Baby, you're the baddest
Baby, you're the baddest girl and uh
Nobody else matters
Nobody else matters girl and uh
We're kissing in the bathroom
We're kissing in the bathroom girl and uh
I hope nobody catch us
(I hope nobody catch us)
Baby, you're the baddest
Baby, you're the baddest girl and uh
Nobody else matters
Nobody else matters girl and uh
We're kissing in the bathroom
We're kissing in the bathroom girl and uh
I hope nobody catch us
But I kinda hope they catch us
Anyway
Ooh girl, I wanna know
Are you ready to cry, 'cause I'm no good, no good
Ooh girl, I wanna try
I'm an awful guy and I'm always away
And I'm tryin' to say
I'mma piece of shit
Believe in this
I'm tellin' you
'Cause we barely knew, what we had
I'm not that bad, the fun we had
Oh oh
Baby, you're the baddest
Baby, you're the baddest girl and uh
Nobody else matters
Nobody else matters girl and uh
We're kissing in the bathroom
We're kissing in the bathroom girl and uh
I hope nobody catch us
But I kinda hope they catch us
Anyway
Baby, you're the baddest
Baby, you're the baddest girl and uh
Nobody else matters
Nobody else matters girl and uh
We're kissing in the bathroom
We're kissing in the bathroom girl and uh
I hope nobody catch us
But I kinda hope they catch us
Anyway
",https://www.youtube.com/watch?v=LkWpURhvN3E,
Harry Styles,Ever Since New York,"Tell me something, tell me something
You don't know nothing, just pretend you do
I need something, tell me something new
Choose your words 'cause there's no antidote
For this curse
Oh, what's it waiting for?
Must this hurt you just before you go?
Oh, tell me something I don't already know
Oh, tell me something I don't already know
Brooklyn saw me, empty at the news
There's no water inside this swimming pool
Almost over, had enough from you
And I've been praying, I never did before
Understand I'm talking to the walls
I've been praying ever since New York
Oh, tell me something I don't already know
Oh, tell me something I don't already know
Oh, tell me something I don't already know
Oh, tell me something I don't already know
Tell me something, tell me something
You don't know nothing, just pretend you do
Tell me something just before you go
Oh, tell me something I don't already know
Oh, tell me something I don't already know
Oh, tell me something I don't already know
Oh, tell me something I don't already know",https://www.youtube.com/watch?v=5bRDGQAUag8,
St. Vincent,New York,"New York isn't New York
Without you, love
So far in a few blocks
To be so low
And if I call you from First Avenue
Where you're the only motherfucker in the city
Who can handle me
New love
Wasn't true love
Back to you, love
So much for a home run
With some blue bloods
If I last-strawed you on 8th Avenue
Where you're the only motherfucker in the city
Who can stand me
I have lost a hero
I have lost a friend
But for you, darling
I'd do it all again
I have lost a hero
I have lost a friend
But for you, darling
I'd do it all again
New York isn't New York
Without you, love
Too few of our old crew
Left on Astor
So if I trade our 'hood
For some Hollywood
Where you're…",https://www.youtube.com/watch?v=4TPqUvy1vYU,
Billy Joel,New York State of Mind,"Some folks like to get away,
Take a holiday from the neighborhood
Hop a flight to Miami Beach or to Hollywood
But I'm takin' a Greyhound on the Hudson River line
I'm in a New York state of mind
I've seen all the movie stars in their fancy cars and their limousines
Been high in the Rockys under the evergreens
I know what I'm needin', and I don't want to waste more time
I'm in a New York state of mind
It was so easy livin' day by day
Out of touch with the rhythym and blues
But now I need a little give and take
The New York Times, the Daily News
It comes down to reality, and it's fine with me cause I've let it slide
I don't care if it's Chinatown or on Riverside
I don't have any reasons
I left them all behind
I'm in a New York state of mind
Oh yeah
It was so easy living day by day
Out of touch with the rhythym and blues
But now I need a little give and take
The New York Times, the Daily News
Who, oh, oh whoa who
It comes down to reality, and it's fine with me cause I've let it slide
I don't care if it's Chinatown or on Riverside
I don't have any reasons
I left them all behind
I'm in a New York state of mind
I'm just taking a Greyhound on the Hudson River line
Cause I'm in a, I'm in a New York state of mind",https://www.youtube.com/watch?v=ol0dPJdzm1M,
Frank Sinatra,"New York, New York","New York, New York
Start spreading the news
You're leaving today (tell him friend)
I want to be a part of it, New York, New York
Your vagabond shoes, they are longing to stray
And steps around the heart of it, New York, New York
I wanna wake up in a city, that doesn't sleep
And find your king of the hill, top of the heap
Your small town blues, they're melting away
Don't make a brand new start of it, in Old New York
You always make it there, you make it anywhere
Its up to you, New York, New York
New York, New York
I want to wake up in a city, that doesn't sleeps
And…",https://www.youtube.com/watch?v=EUrUfJW1JGk,
The Lumineers,Ho Hey,"Ho Hey Ho Hey
I been trying to do it right
(Hey) I been living a lonely life
(Ho) I been sleepin' here instead
(Hey) I been sleepin' in my bed
(Ho) I been sleepin' in my bed (hey ho)
so show me family
(Hey) all the blood that I will bleed
(Ho) I don't know where I belong
(Hey) I don't know where I went wrong
(Ho) but I can write a song (hey)
I belong with you, you belong with me, you're my sweetheart
I belong with you, you belong with me, you're my sweet' (ho)
Hey (come on now) Ho Hey
I don't think you're right for him
(Hey) think of what it might have been if we
(Ho) took a bus to chinatown
(Hey) I'd be standin' on canal (ho) and Bowery (hey)
(Ho) she'd be standin' next to me (hey)
I belong with you, you belong with me, you're my sweetheart
I belong with you, you belong with me, you're my sweetheart
Love we, need it now
Let's hope, for some
'Cause oh, we're bleedin' out
I belong with you, you belong with me, you're my sweetheart
I belong with you, you belong with me, you're my sweet'(ho)
Hey Ho Hey",https://www.youtube.com/watch?v=zvCBSSwgtg4,
Cam'ron,Welcome to New York City,"Turn the motherfucking music up
Just Blaze, man. You owe me nigga
Yeah, yeah, yeah, yeah. Welcome to the Empire State.
Home of the World Trade. Birthplace of Michael Jordan.
Home of Biggie Smalls. Roc-A-Fella head quaters.
Ladies and gentlemen, Killa Cam, Young Hov is definitely in the building
Brooklyn, Harlem World (Welcome to New York City, welcome to New York City)
Stand the fuck up!
I'm a B.K. brawler
Marcy projects hallway loiterer
Pure coke copper, get your order up
I bring em to Baltimore in the Ford Explorer
It's gonna cost you more if I gotta get em to Florida
Rucka game attender
With the bent pole on the sidewalk with the tin plates on the fender
I ain't hard to find you catch me frontin center
At the Knick game, big chain and all my splender
Next to spike and the pen left to write
I own Madison Square, catch me at the fight
But damn once again if you pan left at the ice
If you the man that write cheques with the hand that don't write
I go off the head when I'm rambling on the mic
And I go off the feds when I'm srambling at night
And if its off the set I brought hammers to the fight
But we from New York City, right Cam? [Cam: Ya damn right]
It's the home of 9-11, the place of the lost towers
We still banging, we never lost power, tell em
Welcome to New York City, welcome to New York City
Why'all fuckin with BK's banger and Harlem's own gangster
Now that's danger there's nothing left to shape up
Welcome to New York City, welcome to New York City
Yo, there's a war going on outside no man is safe from
It don't matter if you three feet or eight-one
You'll get ate from me, nine and straight blown
Wig split, melon cracked, all that on day one
Carry eight guns, two in the trunk
Two in the waist, two in the ankle, two to just spank you
You can jam with them jammers, blam with them blammers
It's hot here, ask Mase he ran to Atlanta
You think we know what life do, make want to mold the cycle
Drinkers they so delightful, blinging with so much ice
In front of sparks, body cops Dilano
Block away watch by Gotti and Girvano
It's la costra nostra, someone close approach ya
They'll toast ya gopher, bread loaf with shofer
Old coke they raise up and snort, blayze up ya fort
Jay puff shine, cases was caught
Midnight pick fights, they love a victim
Watch him fore he watch you, Killa
I'm from 101, west to Hunt 40th, this shit is live
Fifth-floor, 56, you know the zip, district five
You're on 22nd, you from two-one
That's on Lennox, 7th ave was news one
Coverage I synethestry
Got rise from defending me
Cause New York'll miss me if I'm locked in the penitentary
The judge said ""Is this that thug, from the kit kat club?""
But I got enough chips stacked up to make a bitch to back up
Killa, I pinch that bud, I grip that snub to hit that thug
Lay up in a pitch black tug,
You lookin at rich black thugs to get that love
And we won't stop til I get back blood
Holla at em Hov
I'm from Flushing, Marcy, Notia, Myrtle and Park
Niggas'll drive by in the day, murder you in the dark
That's why the Johnny gun I'm holding
Wet niggas up like the johnny-pump is open
Homie, I play hard
I'm from 101, west to Hunt 40th, this shit is live
Fifth-floor, 56, you know the zip, district five
You're on 22nd, you from two-one
That's on Lennox, 7th ave was news one
Coverage I synethestry
Got rise from defending me
Cause New York'll miss me if I'm locked in the penitentary
The judge said ""Is this that thug, from the kit kat club?""
But I got enough chips stacked up to make a bitch to back up
[Cam'Ron]
Killa, I pinch that bud, I grip that snub to hit that thug
Lay up in a pitch black tug,
You lookin at rich black thugs to get that love
And we won't stop til I get back blood
Holla at em Hov
[Jay-Z]
I'm from Flushing, Marcy, Notia, Myrtle and Park
Niggas'll drive by in the day, murder you in the dark
That's why the Johnny gun I'm holding
Wet niggas up like the johnny-pump is open
Homie, I play hard
Y'all niggas man, why'all can't fuck around man
It's the ROC bitch, Killa, my nigga Jigga, Sigel, Beans
Diplomats man, holla, Dash
Get the fuck off our dicks
I own this shit right now man, I ain't going nowhere",https://www.youtube.com/watch?v=76tBd1hfDFw,
Lauv,I Like Me Better,"To be young and in love in New York City (New York City)
To not know who I am but still know that I'm good long as you're here with me
To be drunk and in love in New York City
Midnight into morning coffee
Burning through the hours talking
Damn, I like me better when I'm with you
I like me better when I'm with you
I knew from the first time, I'd stay for a long time 'cause
I like me better when
I like me better when I'm with you
I don't know what it is but I got that feeling (got that feeling)
Waking up in this bed next to you swear the room
Yeah, it got no ceiling
If we lay, let the day just pass us by
I might get to too much talking
I might have to tell you something
Damn, I like me better when I'm with you
I like me better when I'm with you
I knew from the first time, I'd stay for a long time 'cause
I like me better when
I like me better when I'm with you
Stay awhile, stay awhile
Stay here with me
Stay awhile, stay awhile, oh
Stay awhile, stay awhile
Stay here with me
Lay here with me
I like me better when I'm with you (yes, I do, yes, I do, babe)
I like me better when I'm with you (ooh, no)
I knew from the first time, I'd stay for a long time ,cause
I like me better when
I like me better when I'm with you
Better when, I like me better when I'm with you",https://www.youtube.com/watch?v=BcqxLCWn-CE,
